breakout_window,trend_ema_span,stop_atr_multiple,split,symbol,samples,mean_return,median_return,win_rate,profit_factor,max_losing_streak,q10,q90,worst_trade,best_trade,max_compounded_drawdown
24,100,1.5,confirmation,ETHUSDT,163,-6.856706205318735e-05,-0.01109135924136646,0.294478527607362,0.9931404097659892,14,-0.01888136124739945,0.0342021588539198,-0.03245571606925253,0.09794005366997509,0.38876222948656547
24,100,1.5,confirmation,SOLUSDT,184,0.0009669660844080829,-0.01260559300442916,0.31521739130434784,1.0899906579966607,9,-0.019864461813183253,0.03915652841995675,-0.05658247904973586,0.09653034727259117,0.27233824256141825
24,100,2.0,development,BNBUSDT,236,0.00021065888179614008,-0.01525102106343824,0.3177966101694915,1.0156785469146044,13,-0.02820336775571237,0.04586057393326602,-0.05189728696429581,0.10856417584282889,0.3461384785610018
24,100,2.0,development,BTCUSDT,216,0.0007251513824653783,-0.01305307798802775,0.33796296296296297,1.064969506855968,9,-0.021997818397169255,0.03864794728314751,-0.042192448812106,0.07929211781066552,0.22746654106476327
24,100,2.0,development,ETHUSDT,236,0.0022310866274201212,-0.016213204546942982,0.3474576271186441,1.1661819346196842,9,-0.025334512856934065,0.05020662277020442,-0.05373850892854566,0.08984652097052119,0.2855594310419667
24,100,2.0,development,SOLUSDT,203,0.001323013404175078,-0.022621866427923142,0.3251231527093596,1.0655670910284727,10,-0.036824026252622336,0.06993306904433483,-0.07311531728445615,0.13456409257185725,0.376573323646443
24,100,2.0,validation,BNBUSDT,253,-0.0009034482974541037,-0.012280720287578827,0.308300395256917,0.9245825660237863,11,-0.023856776202851624,0.04132394531857877,-0.06324551249327655,0.11122253817314946,0.36952317038681104
24,100,2.0,validation,BTCUSDT,252,-0.0016683876906040567,-0.010201053044220986,0.2976190476190476,0.830839363362533,12,-0.020201457056707704,0.030684040187460574,-0.03230003300457358,0.06577324104205366,0.4849195762145545
24,100,2.0,validation,ETHUSDT,236,0.002073022954511513,-0.017578321831354115,0.3432203389830508,1.136347881336293,11,-0.029887041599989516,0.056495723614382584,-0.05291990911464779,0.14023699200102607,0.26815438171667805
24,100,2.0,validation,SOLUSDT,230,0.0003812390537790796,-0.021196106530574698,0.32608695652173914,1.0207247131462205,19,-0.035806443081809004,0.0619631675660636,-0.0619704640923678,0.11447093033660909,0.5278917124505527
24,100,2.0,confirmation,BNBUSDT,145,0.000558509962143935,-0.010901161724309837,0.2896551724137931,1.0583009566611041,13,-0.018143069976487933,0.034548184921771974,-0.031452200356866314,0.08677398303220867,0.2965716968872504
