symbol,event,side,horizon,minutes,cost,samples,mean_return,median_return,win_rate,profit_factor
ETHUSDT,REJECT_DOWN_4H,LONG,6,30,0.0004,5835,-0.0005034329160134283,-5.895582016273126e-05,0.4937446443873179,0.7860894665022039
ETHUSDT,REJECT_DOWN_4H,LONG,12,60,0.0,5835,-5.1494465461056626e-05,0.0005479330746793742,0.5437874892887746,0.9821376665907129
ETHUSDT,REJECT_DOWN_4H,LONG,12,60,0.0002,5835,-0.0002514944654610564,0.00034793307467937426,0.5278491859468724,0.915486790753128
ETHUSDT,REJECT_DOWN_4H,LONG,12,60,0.0004,5835,-0.00045149446546105656,0.00014793307467937422,0.5120822622107969,0.8530283234399235
ETHUSDT,REJECT_UP_1H,SHORT,1,5,0.0,15092,-9.401796955788487e-06,6.267772713064446e-05,0.5212695467797509,0.9855413545344807
ETHUSDT,REJECT_UP_1H,SHORT,1,5,0.0002,15092,-0.00020940179695578854,-0.00013732227286935555,0.4552080572488736,0.7218163035845663
ETHUSDT,REJECT_UP_1H,SHORT,1,5,0.0004,15092,-0.0004094017969557885,-0.00033732227286935556,0.39245958123509145,0.5282500289227626
ETHUSDT,REJECT_UP_1H,SHORT,3,15,0.0,15092,2.7729628034831063e-06,0.00014048725398241313,0.5270341902994964,1.0025195924641042
ETHUSDT,REJECT_UP_1H,SHORT,3,15,0.0002,15092,-0.0001972270371965169,-5.951274601758688e-05,0.4865491651205937,0.8355134636166285
ETHUSDT,REJECT_UP_1H,SHORT,3,15,0.0004,15092,-0.00039722703719651697,-0.0002595127460175869,0.4487145507553671,0.6957377988605795
ETHUSDT,REJECT_UP_1H,SHORT,6,30,0.0,15092,9.858824824452758e-06,0.00014466828021542089,0.5206069440763318,1.0064543658219407
ETHUSDT,REJECT_UP_1H,SHORT,6,30,0.0002,15092,-0.00019014117517554712,-5.5331719784579124e-05,0.49151868539623644,0.8830784822488038
ETHUSDT,REJECT_UP_1H,SHORT,6,30,0.0004,15092,-0.00039014117517554734,-0.00025533171978457913,0.4621653856347734,0.774608511276984
ETHUSDT,REJECT_UP_1H,SHORT,12,60,0.0,15092,-1.4519557912012936e-05,0.00011415685284910104,0.5108666843360721,0.9933968131241419
ETHUSDT,REJECT_UP_1H,SHORT,12,60,0.0002,15092,-0.00021451955791201274,-8.584314715089897e-05,0.49211502782931354,0.9066735227320606
ETHUSDT,REJECT_UP_1H,SHORT,12,60,0.0004,15092,-0.00041451955791201294,-0.000285843147150899,0.47197190564537506,0.8274436894690148
ETHUSDT,REJECT_UP_4H,SHORT,1,5,0.0,6052,2.0681148124159294e-05,0.00015957305421621104,0.5427957699933906,1.0269603604152036
ETHUSDT,REJECT_UP_4H,SHORT,1,5,0.0002,6052,-0.00017931885187584074,-4.042694578378897e-05,0.489920687376074,0.7924025137023243
ETHUSDT,REJECT_UP_4H,SHORT,1,5,0.0004,6052,-0.00037931885187584077,-0.00024042694578378898,0.4317580964970258,0.6095406927814165
ETHUSDT,REJECT_UP_4H,SHORT,3,15,0.0,6052,2.3123474522079716e-05,0.00030547964172444875,0.5541969596827495,1.0181550244071615
ETHUSDT,REJECT_UP_4H,SHORT,3,15,0.0002,6052,-0.00017687652547792028,0.00010547964172444874,0.517349636483807,0.8705339875376192
ETHUSDT,REJECT_UP_4H,SHORT,3,15,0.0004,6052,-0.00037687652547792035,-9.452035827555127e-05,0.4847984137475215,0.7429203360993007
ETHUSDT,REJECT_UP_4H,SHORT,6,30,0.0,6052,1.4387902888235962e-05,0.00038569312272873635,0.5517184401850628,1.0083008899659178
ETHUSDT,REJECT_UP_4H,SHORT,6,30,0.0002,6052,-0.00018561209711176393,0.00018569312272873634,0.5262723066754792,0.8983283140419687
