symbol,period,experiment,cost,samples,win_rate,mean_return,median_return,profit_factor,best_trade,worst_trade,profit_factor_clean
BNBUSDT,2026-07,ATR_EXPANDING,0.001,61,0.26229508196721313,-0.0013957615635713382,-0.001274805489239638,0.4210561595767737,0.008887727585173644,-0.009505276421483688,0.4210561595767737
SOLUSDT,2026-02,BASE_SHORT,0.0,74,0.5405405405405406,0.00032900886217644584,0.0007215156004029,1.0694636792826393,0.04429892141756553,-0.08051779935275083,1.0694636792826393
SOLUSDT,2026-02,BASE_SHORT,0.0002,74,0.5405405405405406,0.00012900886217644567,0.0005215156004029,1.026719271570878,0.04409892141756553,-0.08071779935275084,1.026719271570878
SOLUSDT,2026-02,BASE_SHORT,0.0004,74,0.527027027027027,-7.099113782355285e-05,0.00032151560040289995,0.9855730695441419,0.04389892141756553,-0.08091779935275083,0.9855730695441419
SOLUSDT,2026-02,BASE_SHORT,0.0006,74,0.5135135135135135,-0.0002709911378235554,0.00012151560040290002,0.9459856590102442,0.043698921417565526,-0.08111779935275083,0.9459856590102442
SOLUSDT,2026-02,BASE_SHORT,0.0008,74,0.4864864864864865,-0.00047099113782355447,-7.848439959710007e-05,0.9079455459759672,0.04349892141756553,-0.08131779935275082,0.9079455459759672
SOLUSDT,2026-02,BASE_SHORT,0.001,74,0.4864864864864865,-0.000670991137823555,-0.00027848439959710005,0.8714365346384437,0.04329892141756553,-0.08151779935275083,0.8714365346384437
SOLUSDT,2026-02,ATR_CONTRACTING,0.0,20,0.55,0.0017420919924393263,0.002514419460524997,1.549674911569252,0.021363173957273496,-0.014809828340625941,1.549674911569252
SOLUSDT,2026-02,ATR_CONTRACTING,0.0002,20,0.55,0.0015420919924393265,0.002314419460524997,1.473134020518407,0.021163173957273497,-0.015009828340625942,1.473134020518407
SOLUSDT,2026-02,ATR_CONTRACTING,0.0004,20,0.55,0.0013420919924393268,0.002114419460524997,1.4007066175980838,0.020963173957273495,-0.01520982834062594,1.4007066175980838
SOLUSDT,2026-02,ATR_CONTRACTING,0.0006,20,0.55,0.001142091992439326,0.0019144194605249971,1.3320697773555954,0.020763173957273496,-0.015409828340625941,1.3320697773555954
SOLUSDT,2026-02,ATR_CONTRACTING,0.0008,20,0.55,0.0009420919924393258,0.001714419460524997,1.2669335136536461,0.020563173957273497,-0.015609828340625942,1.2669335136536461
SOLUSDT,2026-02,ATR_CONTRACTING,0.001,20,0.55,0.0007420919924393254,0.001514419460524997,1.205036684227126,0.020363173957273495,-0.015809828340625942,1.205036684227126
SOLUSDT,2026-02,ATR_EXPANDING,0.0,65,0.49230769230769234,-0.001197555551843317,-0.0003453833755469038,0.7933107802981201,0.04429892141756553,-0.08051779935275083,0.7933107802981201
SOLUSDT,2026-02,ATR_EXPANDING,0.0002,65,0.49230769230769234,-0.0013975555518433171,-0.0005453833755469038,0.7629465721222918,0.04409892141756553,-0.08071779935275084,0.7629465721222918
SOLUSDT,2026-02,ATR_EXPANDING,0.0004,65,0.47692307692307695,-0.0015975555518433166,-0.0007453833755469038,0.7336377825884359,0.04389892141756553,-0.08091779935275083,0.7336377825884359
SOLUSDT,2026-02,ATR_EXPANDING,0.0006,65,0.46153846153846156,-0.0017975555518433177,-0.0009453833755469037,0.7055224855633009,0.043698921417565526,-0.08111779935275083,0.7055224855633009
SOLUSDT,2026-02,ATR_EXPANDING,0.0008,65,0.4461538461538462,-0.001997555551843317,-0.0011453833755469037,0.6785149973022802,0.04349892141756553,-0.08131779935275082,0.6785149973022802
SOLUSDT,2026-02,ATR_EXPANDING,0.001,65,0.4307692307692308,-0.002197555551843318,-0.0013453833755469038,0.6526720198078367,0.04329892141756553,-0.08151779935275083,0.6526720198078367
SOLUSDT,2026-03,BASE_SHORT,0.0,90,0.4,-0.00043065936137489167,-0.0017635511467883336,0.8550116064580681,0.01810515873015861,-0.02658300057045082,0.8550116064580681
SOLUSDT,2026-03,BASE_SHORT,0.0002,90,0.37777777777777777,-0.0006306593613748916,-0.0019635511467883337,0.7960465895977324,0.01790515873015861,-0.02678300057045082,0.7960465895977324
SOLUSDT,2026-03,BASE_SHORT,0.0004,90,0.37777777777777777,-0.0008306593613748917,-0.0021635511467883338,0.7417600295992715,0.01770515873015861,-0.026983000570450822,0.7417600295992715
SOLUSDT,2026-03,BASE_SHORT,0.0006,90,0.36666666666666664,-0.0010306593613748913,-0.0023635511467883334,0.6916310173313547,0.01750515873015861,-0.02718300057045082,0.6916310173313547
SOLUSDT,2026-03,BASE_SHORT,0.0008,90,0.36666666666666664,-0.0012306593613748916,-0.0025635511467883335,0.64523671932618,0.01730515873015861,-0.02738300057045082,0.64523671932618
SOLUSDT,2026-03,BASE_SHORT,0.001,90,0.34444444444444444,-0.0014306593613748922,-0.0027635511467883336,0.6025810753129603,0.01710515873015861,-0.027583000570450822,0.6025810753129603
SOLUSDT,2026-03,ATR_CONTRACTING,0.0,25,0.44,0.0011015351555895413,-0.0003360967958772054,1.445676198028938,0.015260651935050662,-0.015746180963572165,1.445676198028938
SOLUSDT,2026-03,ATR_CONTRACTING,0.0002,25,0.44,0.0009015351555895412,-0.0005360967958772054,1.348944765341452,0.015060651935050661,-0.015946180963572164,1.348944765341452
SOLUSDT,2026-03,ATR_CONTRACTING,0.0004,25,0.44,0.0007015351555895415,-0.0007360967958772054,1.2602515457765153,0.014860651935050663,-0.016146180963572166,1.2602515457765153
SOLUSDT,2026-03,ATR_CONTRACTING,0.0006,25,0.4,0.0005015351555895416,-0.0009360967958772054,1.178353268682989,0.014660651935050662,-0.016346180963572165,1.178353268682989
SOLUSDT,2026-03,ATR_CONTRACTING,0.0008,25,0.4,0.00030153515558954143,-0.0011360967958772054,1.1028416889267958,0.014460651935050662,-0.016546180963572164,1.1028416889267958
SOLUSDT,2026-03,ATR_CONTRACTING,0.001,25,0.4,0.00010153515558954111,-0.0013360967958772054,1.033268047322022,0.014260651935050661,-0.016746180963572166,1.033268047322022
SOLUSDT,2026-03,ATR_EXPANDING,0.0,80,0.4,-0.000893071527146784,-0.001527774023226014,0.6994146951913399,0.01810515873015861,-0.02658300057045082,0.6994146951913399
SOLUSDT,2026-03,ATR_EXPANDING,0.0002,80,0.375,-0.0010930715271467838,-0.001727774023226014,0.6466226883217303,0.01790515873015861,-0.02678300057045082,0.6466226883217303
SOLUSDT,2026-03,ATR_EXPANDING,0.0004,80,0.3625,-0.001293071527146784,-0.0019277740232260141,0.5983287571843331,0.01770515873015861,-0.026983000570450822,0.5983287571843331
